"ID" "issue"
"KX1_15301" "Single digit social code"
"KX1_15302" "Single digit social code"
"KX1_15400" "Single digit social code"
"KX1_15500" "Single digit social code"
"KX1_15601" "Single digit social code"
"KX1_15602" "Single digit social code"
"KX1_15700" "Single digit social code"
"KX1_15800" "Single digit social code"
"KX1_15900" "Single digit social code"
"KX1_1600" "Single digit social code"
"KX1_16000" "Single digit social code"
"KX1_16101" "Single digit social code"
"KX1_16102" "Single digit social code"
"KX1_16200" "Single digit social code"
"KX1_16301" "Single digit social code"
"KX1_16302" "Single digit social code"
"KX1_1700" "Single digit social code"
"KX1_1800" "Single digit social code"
"KX1_1900" "Single digit social code"
"KX1_2000" "Single digit social code"
"KX1_2100" "Single digit social code"
"KX1_2200" "Single digit social code"
"KX1_2300" "Single digit social code"
"KX1_2400" "Single digit social code"
"KX1_2500" "Single digit social code"
"KX1_2600" "Single digit social code"
"KX1_2700" "Single digit social code"
"KX1_2800" "Single digit social code"
"KX1_2900" "Single digit social code"
"KX1_3000" "Single digit social code"
"KX1_3100" "Single digit social code"
"KX1_3401" "Single digit social code"
"KX1_3402" "Single digit social code"
"KX1_3403" "Single digit social code"
"KX1_3601" "Single digit social code"
"KX1_3602" "Single digit social code"
"KX1_3700" "Single digit social code"
"KX1_3901" "Single digit social code"
"KX1_3902" "Single digit social code"
"KX1_3903" "Single digit social code"
"KX1_3904" "Single digit social code"
"KX1_4700" "Single digit social code"
"KX1_4901" "Single digit social code"
"KX1_4902" "Single digit social code"
"KX1_4903" "Single digit social code"
"KX1_5100" "Single digit social code"
"KX1_5200" "Single digit social code"
"KX1_6500" "Single digit social code"
"KX1_6600" "Single digit social code"
"KX1_6700" "Single digit social code"
"KX1_6801" "Single digit social code"
"KX1_6802" "Single digit social code"
"ST5_2739" "Single digit social code"
"ST5_2739B" "Single digit social code"
"ST5_2740" "Single digit social code"
"ST5_2741" "Single digit social code"
"ST5_2742A" "Single digit social code"
"ST5_2742B" "Single digit social code"
"ST5_2743" "Single digit social code"
"ST5_2744" "Single digit social code"
"ST5_2745" "Single digit social code"
"ST5_2746" "Single digit social code"
"ST5_2747" "Single digit social code"
"ST5_2748" "Single digit social code"
"ST5_2749" "Single digit social code"
"ST5_2750A" "Single digit social code"
"ST5_2750B" "Single digit social code"
"ST5_2751" "Single digit social code"
"ST5_2752" "Single digit social code"
"ST5_2753" "Single digit social code"
"ST5_2754" "Single digit social code"
"ST5_2755" "Single digit social code"
"ST5_2756" "Single digit social code"
"ST5_2757" "Single digit social code"
"ST6_1159" "Single digit social code"
"ST6_1160" "Single digit social code"
"ST6_1161" "Single digit social code"
"ST6_1163" "Single digit social code"
"ST6_1164" "Single digit social code"
"ST6_1165" "Single digit social code"
"ST6_1166" "Single digit social code"
"ST6_1167" "Single digit social code"
"ST6_1168" "Single digit social code"
"ST6_1169" "Single digit social code"
"ST6_1170" "Single digit social code"
"ST6_1171" "Single digit social code"
"ST6_1172" "Single digit social code"
"ST6_1173" "Single digit social code"
"ST6_1175" "Single digit social code"
"ST6_1176" "Single digit social code"
"ST6_1177" "Single digit social code"
"ST6_1178" "Single digit social code"
"ST6_1180" "Single digit social code"
"ST6_1181" "Single digit social code"
"ST6_1187" "Single digit social code"
"ST6_1188" "Single digit social code"
"ST6_1189" "Single digit social code"
"ST6_1190" "Single digit social code"
"WW7_100" "Single digit social code"
"WW7_100A" "Single digit social code"
"WW7_100B" "Single digit social code"
"WW7_110A" "Single digit social code"
"WW7_110B" "Single digit social code"
"WW7_110C" "Single digit social code"
"WW7_110D" "Single digit social code"
"WW7_1200" "Single digit social code"
"WW7_120A" "Single digit social code"
"WW7_1300" "Single digit social code"
"WW7_140A" "Single digit social code"
"WW7_140B" "Single digit social code"
"WW7_150A" "Single digit social code"
"WW7_1600" "Single digit social code"
"WW7_1700" "Single digit social code"
"WW7_17681" "Single digit social code"
"WW7_17682" "Single digit social code"
"WW7_1900" "Single digit social code"
"WW7_2000" "Single digit social code"
"WW7_2155" "Single digit social code"
"WW7_2161" "Single digit social code"
"WW7_2175" "Single digit social code"
"WW7_2177" "Single digit social code"
"WW7_2178" "Single digit social code"
"WW7_2179" "Single digit social code"
"WW7_2180" "Single digit social code"
"WW7_2184" "Single digit social code"
"WW7_2185" "Single digit social code"
"WW7_2186" "Single digit social code"
"WW7_2187" "Single digit social code"
"WW7_2188" "Single digit social code"
"WW7_2191" "Single digit social code"
"WW7_2193" "Single digit social code"
"WW7_2194" "Single digit social code"
"WW7_2195" "Single digit social code"
"WW7_2196" "Single digit social code"
"WW7_2197" "Single digit social code"
"WW7_2198" "Single digit social code"
"WW7_2199" "Single digit social code"
"WW7_2201" "Single digit social code"
"WW7_2202" "Single digit social code"
