"Site" "num" "HI" "QALY" "lifeEx" "Pyl" "Stature" "Hypoplasia" "Anemia" "Dental" "Infection" "DJD" "Trauma"
"DAR" 1 90 23.74 57 57 43.28 100 100 86.7 100 100 100
"204" 1 88.96 23.47 54 54 55.84 NA NA NA 100 100 100
"223" 2 88.94 23.46 37 74 45.21 NA 100 100 100 88.41 100
"W85" 3 88.39 23.32 42.33 127 NA NA NA 87.75 88.71 NA 88.71
"W77" 63 88.02 23.22 39.56 2492 NA NA NA NA 88.34 NA 87.7
"36B" 2 87.76 23.15 33 66 40.02 98.48 99.24 78.87 99.24 99.24 99.24
"LNC" 22 87.17 22.99 42.64 938 NA 70.02 92.69 84.63 91.76 92.71 91.18
"107" 5 85.83 22.64 30.2 151 64.54 NA 92.05 81.62 89.54 97.68 89.54
"WOO" 116 85.67 22.6 33.77 3917 NA NA NA NA 89.08 NA 82.26
"sfc" 29 85.52 22.56 44.45 1289 NA 92 67.45 89.84 90.33 81.86 91.63
"WM2" 12 84.84 22.38 38.33 460 NA NA NA NA 93.7 NA 75.98
"105" 13 83.29 21.97 25.92 337 42.04 NA 93.47 91.2 91.33 90.37 91.33
"sfo" 35 83.16 21.94 46.94 1643 NA 66.67 90.65 77.22 90.3 NA 90.99
"212" 2 82.72 21.82 20.5 41 63.62 NA 97.56 95.12 59.76 NA 97.56
"119" 4 82.17 21.68 30 120 NA NA 84.44 76.67 82.5 82.79 84.44
"sfa" 9 82.16 21.67 46.22 416 NA 100 62.58 72.27 87.98 NA 87.98
"W46" 23 82 21.63 31.91 734 NA NA NA 82.55 82.32 NA 81.13
"WMO" 27 80.35 21.2 30.59 826 NA NA NA NA 81.38 NA 79.32
"snt" 14 80.19 21.15 43.43 608 NA 73.05 NA NA 93.24 61.22 93.24
"118" 7 80.14 21.14 23 161 85.63 NA 100 77.62 70.72 81.37 65.48
"sag" 6 79.53 20.98 30 180 41.06 100 85.56 NA 74.29 95.56 80.74
"102" 1 79.49 20.97 13 13 NA NA NA 100 69.23 NA 69.23
